"Conversion_Id","GJ_Factor","CO2e_Rate","CO2e_Rate_Original","Factor_CO2","Factor_CH4","Factor_N2O","KG_Conversion","L_Conversion","M2_Conversion","M_Conversion","Uncertainty_Factor","CO2e_Indirect_Factor","Cost_Factor","Market_Rate","KWH_Factor","Factor_BioCO2"
"66","0.0384628700000000","0.0027058310700000","2.70583107","0.0026971979300000","0.0000030327000000","0.0000056004500000","","1.000000000000","","","","0.0006240900000000","","","10.6841305555556410286",""
"67","0.0951132800000000","0.0062139465000000","6.21394650","0.0062045000000000","0.0000033375000000","0.0000061090000000","","3.785400000000","","","","","","","26.4203555555557669184",""
"68","0.1318819800000000","0.0088118400000000","8.81184000","0.0087800000000000","0.0000106400000000","0.0000212000000000","","3.785400000000","","","","","","","36.6338833333336264044",""
"69","0.1318819800000000","0.0088133400000000","8.81334000","0.0087800000000000","0.0000095000000000","0.0000238400000000","","3.785400000000","","","","","","","36.6338833333336264044",""
"70","0.1318819800000000","0.0088133400000000","8.81334000","0.0087800000000000","0.0000095000000000","0.0000238400000000","","3.785400000000","","","","0.0022819598000000","","","36.6338833333336264044",""
"71","0.1318819800000000","0.0088133400000000","8.81334000","0.0087800000000000","0.0000095000000000","0.0000238400000000","","3.785400000000","","","","0.0022963822200000","","","36.6338833333336264044",""
"72","0.1318819900000000","0.0088118400000000","8.81184000","0.0087800000000000","0.0000106400000000","0.0000212000000000","","3.785400000000","","","","0.0022963822200000","","","36.6338861111114041822",""
"73","","0.0006901188900000","0.69011889","0.0006866749000000","0.0000000321900000","0.0000034118100000","","","","1609.344000000000","","0.0000755747900000","","","",""
"74","","0.0009338701400000","0.93387014","0.0009292513200000","0.0000000321900000","0.0000045866300000","","","","","","0.0001148588800000","","","",""
"75","","0.0009338815800000","0.93388158","0.0009292516100000","0.0000000360500000","0.0000045939200000","","","","1609.344000000000","","0.0001148589200000","","","",""
